0000.001	-30.5	518	-0.3	0.0	24.6	24.57	33.5	315.07	208DB9
0000.484	-30.5	518	-0.3	0.0	24.6	24.57	33.5	315.07	208DB9
0000.949	-30.5	518	-0.3	0.0	24.6	24.57	33.5	315.07	208DB9
0001.364	-30.5	518	-0.3	0.0	24.6	24.57	33.5	315.07	208DB9
0005.356	-30.5	518	-0.3	0.0	14.6	24.57	33.5	315.07	208DB9
0010.084	-30.5	418	-0.3	0.0	14.6	24.57	33.5	315.07	208DB9
0012.638	-30.5	518	-0.3	0.0	14.6	24.57	33.5	315.07	208DB9
0015.036	-30.5	518	-0.3	0.0	24.6	24.57	33.5	315.07	208DB9
0024.436	-30.5	518	-0.3	0.0	24.6	24.57	33.5	215.07	208DB9
0027.307	-30.5	518	-0.3	0.0	24.6	24.57	33.5	315.07	208DB9
0038.437	-30.5	518	-0.3	0.0	24.6	34.57	33.5	315.07	208DB9
0041.869	-30.5	518	-0.3	0.0	24.6	24.57	33.5	315.07	208DB9
